"order_item_id","order_id","order_date","customer_id","customer_region","product_category","quantity_sold","discount_percent","line_revenue","payment_method"
1,1,"2024-01-08","1488","Africa","Fashion","1","30","74.69","UPI"
2,1,"2024-01-08","1488","Africa","Home & Kitchen","1","10","170.4","UPI"
3,1,"2024-01-08","1488","Africa","Electronics","4","0","326.8","UPI"
4,2,"2023-10-04","1078","South America","Sports","2","25","109.76","Apple Pay"
5,3,"2022-03-08","1853","Europe","Fashion","4","25","105.44","Debit Card"
6,4,"2024-10-28","1716","South America","Home & Kitchen","2","0","395.5","Apple Pay"
7,4,"2024-10-28","1716","South America","Electronics","2","15","1345.74","Apple Pay"
8,5,"2023-10-12","1089","Middle East","Electronics","1","30","638.7","Bank Transfer"
9,6,"2024-07-22","1432","Middle East","Books","2","25","68.18","Credit Card"
10,6,"2024-07-22","1432","Middle East","Sports","1","15","60.38","Credit Card"
11,7,"2024-01-12","226","Asia","Beauty","1","15","98.31","Bank Transfer"
12,8,"2023-05-17","1681","North America","Beauty","1","5","11.26","UPI"
13,8,"2023-05-17","1681","North America","Books","1","0","34.62","UPI"
14,9,"2024-05-12","892","Europe","Beauty","4","5","516","Debit Card"
15,9,"2024-05-12","892","Europe","Electronics","3","5","1023.15","Debit Card"
16,10,"2024-08-20","999","Asia","Electronics","1","30","386.52","Debit Card"
17,10,"2024-08-20","999","Asia","Beauty","2","10","108.92","Debit Card"
18,10,"2024-08-20","999","Asia","Beauty","4","5","151.48","Debit Card"
19,11,"2023-05-10","1375","North America","Books","2","15","56.4","Credit Card"
20,12,"2022-06-01","474","South America","Beauty","1","10","121.31","PayPal"
21,12,"2022-06-01","474","South America","Beauty","1","20","20.18","PayPal"
22,12,"2022-06-01","474","South America","Beauty","1","5","18.68","PayPal"
23,13,"2022-11-08","1964","Middle East","Beauty","2","10","201.3","Bank Transfer"
24,13,"2022-11-08","1964","Middle East","Beauty","1","15","50.8","Bank Transfer"
25,14,"2022-07-18","330","North America","Fashion","2","10","98.8","UPI"
26,15,"2023-08-08","161","Asia","Beauty","1","20","89.12","PayPal"
27,15,"2023-08-08","161","Asia","Beauty","4","15","76.8","PayPal"
28,16,"2024-11-29","840","Middle East","Fashion","1","0","17.64","Bank Transfer"
29,17,"2024-09-23","1832","North America","Electronics","1","5","330.32","Debit Card"
30,18,"2023-07-25","327","Africa","Electronics","3","25","1955.94","Debit Card"
31,18,"2023-07-25","327","Africa","Electronics","2","0","1731.58","Debit Card"
32,19,"2024-01-27","312","South America","Sports","2","20","72.52","Bank Transfer"
33,20,"2022-08-13","1193","Europe","Electronics","2","5","1038.78","Credit Card"
34,21,"2022-08-27","185","Asia","Beauty","2","5","211.14","Credit Card"
35,21,"2022-08-27","185","Asia","Fashion","1","10","39.63","Credit Card"
36,22,"2023-10-07","1291","Europe","Beauty","2","10","30.2","Credit Card"
37,23,"2022-03-14","40","Middle East","Beauty","2","20","100.66","Apple Pay"
38,24,"2023-02-05","1440","North America","Electronics","2","5","702.56","Debit Card"
39,25,"2024-11-23","1772","North America","Electronics","1","5","534.97","Apple Pay"
40,26,"2022-03-21","372","Europe","Home & Kitchen","2","15","426.98","PayPal"
41,26,"2022-03-21","372","Europe","Books","2","25","54.26","PayPal"
42,27,"2023-04-20","913","Europe","Home & Kitchen","2","15","234.26","Apple Pay"
43,28,"2023-08-29","1162","Africa","Fashion","1","10","138.09","Credit Card"
