order_item_id,order_id,customer_id,product_id,product_category,unit_price,discount_percent,quantity_sold,discounted_unit_price,line_revenue
1,1,1488,1205,Fashion,106.7,30,1,74.69,74.69
2,1,1488,1219,Home & Kitchen,189.33,10,1,170.4,170.4
3,1,1488,1088,Electronics,81.7,0,4,81.7,326.8
4,2,1078,1276,Sports,73.17,25,2,54.88,109.76
5,3,1853,1059,Fashion,35.14,25,4,26.36,105.44
6,4,1716,1117,Home & Kitchen,197.75,0,2,197.75,395.5
7,4,1716,1275,Electronics,791.61,15,2,672.87,1345.74
8,5,1089,1081,Electronics,912.43,30,1,638.7,638.7
9,6,1432,1197,Books,45.45,25,2,34.09,68.18
10,6,1432,1169,Sports,71.03,15,1,60.38,60.38
11,7,226,1229,Beauty,115.66,15,1,98.31,98.31
12,8,1681,1185,Beauty,11.85,5,1,11.26,11.26
13,8,1681,1125,Books,34.62,0,1,34.62,34.62
14,9,892,1179,Beauty,135.79,5,4,129.0,516.0
15,9,892,1045,Electronics,359.0,5,3,341.05,1023.15
16,10,999,1269,Electronics,552.17,30,1,386.52,386.52
17,10,999,1060,Beauty,60.51,10,2,54.46,108.92
18,10,999,1126,Beauty,39.86,5,4,37.87,151.48
19,11,1375,1152,Books,33.18,15,2,28.2,56.4
20,12,474,1274,Beauty,134.79,10,1,121.31,121.31
21,12,474,1250,Beauty,25.22,20,1,20.18,20.18
22,12,474,1189,Beauty,19.66,5,1,18.68,18.68
23,13,1964,1186,Beauty,111.83,10,2,100.65,201.3
24,13,1964,1136,Beauty,59.76,15,1,50.8,50.8
25,14,330,1279,Fashion,54.89,10,2,49.4,98.8
26,15,161,1293,Beauty,111.4,20,1,89.12,89.12
27,15,161,1206,Beauty,22.59,15,4,19.2,76.8
28,16,840,1201,Fashion,17.64,0,1,17.64,17.64
29,17,1832,1281,Electronics,347.71,5,1,330.32,330.32
30,18,327,1177,Electronics,869.31,25,3,651.98,1955.94
31,18,327,1280,Electronics,865.79,0,2,865.79,1731.58
32,19,312,1228,Sports,45.32,20,2,36.26,72.52
33,20,1193,1140,electronics,546.73,5,2,519.39,1038.78
34,21,185,1089,Beauty,111.13,5,2,105.57,211.14
35,21,185,1241,Fashion,44.03,10,1,39.63,39.63
36,22,1291,1277,Beauty,16.78,10,2,15.1,30.2
37,23,40,1060,Beauty,62.91,20,2,50.33,100.66
38,24,1440,1045,Electronics,369.77,5,2,351.28,702.56
39,25,1772,1140,Electronics,563.13,5,1,534.97,534.97
40,26,372,1225,Home & Kitchen,251.16,15,2,213.49,426.98
41,26,372,1216,Books,36.18,25,2,27.13,54.26
42,27,913,1282,Home & Kitchen,137.8,15,2,117.13,234.26
43,28,1162,1174,Fashion,153.43,10,1,138.09,138.09
44,28,1162,1110,Sports,57.93,0,2,57.93,115.86
45,28,1162,1231,Sports,24.22,15,4,20.59,82.36
46,28,1162,1164,Sports,168.44,15,2,143.17,286.34
47,29,584,1141,Sports,181.25,5,1,172.19,172.19
48,30,18,1082,Home & Kitchen,160.24,20,1,128.19,128.19
49,31,874,1133,Fashion,175.52,20,1,140.42,140.42
50,32,751,1258,Fashion,91.72,15,1,77.96,77.96
51,32,751,1219,Home & Kitchen,197.14,0,2,197.14,394.28
52,32,751,1258,Fashion,91.72,15,1,77.96,77.96
53,33,211,1264,Fashion,36.24,0,1,36.24,36.24
54,33,211,1096,Sports,77.87,5,1,73.98,73.98
55,33,211,1074,Books,39.58,10,3,35.62,106.86
56,34,816,1076,Beauty,11.01,5,2,10.46,20.92
57,35,1754,1211,Fashion,75.3,0,3,75.3,225.9
58,36,895,1081,Electronics,851.6,20,1,681.28,681.28
59,36,895,1131,Electronics,770.88,20,2,616.7,1233.4
60,37,1047,1265,Home & Kitchen,83.46,0,2,83.46,166.92
61,37,1047,1258,Fashion,90.81,0,2,90.81,181.62
62,38,560,1214,Fashion,160.5,0,2,160.5,321.0
63,38,560,1087,Electronics,889.39,30,1,622.57,622.57
64,39,1062,1130,Beauty,93.15,10,2,83.84,167.68
65,40,1704,1169,Sports,69.68,15,3,59.23,177.69
66,40,1704,1146,Electronics,170.58,10,1,153.52,153.52
67,41,1678,1107,Beauty,81.18,20,1,64.94,64.94
68,42,985,1234,Fashion,70.35,0,2,70.35,140.7
69,42,985,1116,Home & Kitchen,279.57,10,2,251.61,503.22
70,42,985,1238,Electronics,485.26,0,3,485.26,1455.78
71,43,1239,1037,Home & Kitchen,49.19,15,1,41.81,41.81
72,44,1813,1248,Electronics,181.38,30,2,126.97,253.94
73,44,1813,1081,Electronics,877.67,15,1,746.02,746.02
74,45,1396,1002,Books,21.83,20,1,17.46,17.46
75,46,945,1227,Sports,39.62,15,2,33.68,67.36
76,47,1871,1015,Sports,196.38,10,1,176.74,176.74
77,48,98,1192,Electronics,889.05,15,2,755.69,1511.38
78,48,98,1096,Sports,80.25,25,3,60.19,180.57
79,48,98,1169,Sports,68.33,5,2,64.91,129.82
80,49,313,1270,Electronics,276.88,20,4,221.5,886.0
81,49,313,1216,Books,37.99,10,1,34.19,34.19
82,50,1965,1118,Fashion,145.31,0,1,145.31,145.31
83,51,1516,1038,Home & Kitchen,69.26,15,1,58.87,58.87
84,52,890,1227,Sports,37.7,5,2,35.81,71.62
85,53,346,1010,Electronics,267.79,5,2,254.4,508.8
86,53,346,1045,Electronics,359.0,20,1,287.2,287.2
87,54,209,1296,Sports,224.0,10,2,201.6,403.2
88,54,209,1068,Beauty,63.56,5,1,60.38,60.38
89,55,380,1068,Beauty,65.51,0,1,65.51,65.51
90,56,1026,1243,Sports,141.99,10,1,127.79,127.79
91,57,1907,1243,Sports,143.45,20,1,114.76,114.76
92,57,1907,1105,Electronics,549.76,25,2,412.32,824.64
93,58,1235,1154,Home & Kitchen,72.4,5,2,68.78,137.56
94,58,1235,1028,Home & Kitchen,191.44,10,2,172.3,344.6
95,59,1384,1266,Home & Kitchen,270.04,15,2,229.53,459.06
96,59,1384,1096,Sports,77.87,20,2,62.3,124.6
97,59,1384,1083,Books,31.81,0,1,31.81,31.81
98,60,1305,1288,Books,27.7,0,1,27.7,27.7
99,61,1565,1017,Sports,160.49,15,2,136.42,272.84
100,61,1565,1116,Home & Kitchen,268.5,15,1,228.22,228.22
101,62,1331,1232,Fashion,141.39,15,5,120.18,600.9
102,62,1331,1244,Sports,134.63,20,1,107.7,107.7
103,62,1331,1183,Beauty,64.28,20,3,51.42,154.26
104,63,268,1240,Electronics,308.91,0,1,308.91,308.91
105,64,1420,1024,Home & Kitchen,285.01,5,3,270.76,812.28
106,65,187,1182,Fashion,84.23,0,4,84.23,336.92
107,65,187,1288,Books,27.15,10,2,24.43,48.86
108,65,187,1011,Beauty,18.03,10,4,16.23,64.92
109,66,1743,1137,Sports,234.33,10,1,210.9,210.9
110,67,352,1240,Electronics,312.09,10,3,280.88,842.64
111,68,92,1036,Beauty,113.33,10,2,102.0,204.0
112,68,92,1031,Electronics,549.03,0,4,549.03,2196.12
113,68,92,1182,Fashion,84.23,30,2,58.96,117.92
114,69,21,1263,Beauty,57.49,5,2,54.62,109.24
115,70,1044,1115,Fashion,121.68,15,1,103.43,103.43
116,70,1044,1193,Books,29.22,5,1,27.76,27.76
117,71,1427,1134,Sports,152.22,5,1,144.61,144.61
118,71,1427,1103,Home & Kitchen,143.44,15,1,121.92,121.92
119,72,636,1159,Beauty,75.77,30,2,53.04,106.08
120,73,1212,1064,Electronics,187.49,15,1,159.37,159.37
121,73,1212,1166,Fashion,38.77,20,1,31.02,31.02
122,74,1651,1249,Books,34.65,5,2,32.92,65.84
123,74,1651,1032,Electronics,167.38,15,1,142.27,142.27
124,74,1651,1289,Fashion,146.95,5,4,139.6,558.4
125,75,1997,1243,Sports,146.38,15,1,124.42,124.42
126,76,1397,1170,Home & Kitchen,67.58,0,1,67.58,67.58
127,77,841,1066,Home & Kitchen,338.47,15,2,287.7,575.4
128,77,841,1232,Fashion,133.15,5,2,126.49,252.98
129,77,841,1102,Sports,78.12,25,3,58.59,175.77
130,78,1078,1116,Home & Kitchen,271.26,0,2,271.26,542.52
131,78,1078,1090,Fashion,44.16,25,4,33.12,132.48
132,78,1078,1242,Fashion,63.39,30,1,44.37,44.37
133,78,1078,1063,Books,40.39,5,1,38.37,38.37
134,79,321,1139,Home & Kitchen,68.62,10,1,61.76,61.76
135,79,321,1078,Sports,217.98,0,1,217.98,217.98
136,79,321,1107,Beauty,85.33,5,1,81.06,81.06
137,80,991,1160,Beauty,87.05,10,3,78.34,235.02
138,81,1125,1187,Books,41.22,25,2,30.91,61.82
139,81,1125,1207,Fashion,28.16,15,3,23.94,71.82
140,82,1498,1109,Beauty,17.36,20,4,13.89,55.56
141,83,1361,1206,Beauty,21.92,0,5,21.92,109.6
142,84,99,1001,Electronics,733.83,25,2,550.37,1100.74
143,85,345,1227,Sports,38.85,10,1,34.97,34.97
144,86,1470,1267,Electronics,377.35,30,2,264.14,528.28
145,87,575,1142,Beauty,96.42,5,3,91.6,274.8
146,87,575,1052,Sports,197.81,10,2,178.03,356.06
147,87,575,1002,Books,20.77,0,1,20.77,20.77
148,88,360,1211,Fashion,77.63,0,1,77.63,77.63
149,88,360,1227,Sports,38.47,15,1,32.7,32.7
150,88,360,1197,Books,43.29,20,2,34.63,69.26
151,88,360,1254,Home & Kitchen,283.95,10,1,255.56,255.56
152,89,910,1207,Fashion,27.6,0,3,27.6,82.8
153,89,910,1015,Sports,192.45,25,1,144.34,144.34
154,90,1610,1142,Beauty,95.44,10,1,85.9,85.9
155,90,1610,1020,Beauty,104.48,10,1,94.03,94.03
