order_id,customer_id,order_date,customer_region,payment_method,shipping_type,total_quantity_sold,subtotal,shipping_fee,order_total
1,1488,2024-01-08,Africa,UPI,Standard,6,571.89,0.0,571.89
2,1078,2023-10-04,South America,Apple Pay,Standard,2,109.76,5.99,115.75
3,1853,2022-03-08,Europe,Debit Card,Standard,4,105.44,5.99,111.43
4,1716,2024-10-28,South America,Apple Pay,Same Day,4,1741.24,0.0,1741.24
5,1089,2023-10-12,Middle East,Bank Transfer,Standard,1,638.7,0.0,638.7
6,1432,2024-07-22,Middle East,Credit Card,Standard,3,128.56,5.99,134.55
7,226,2024-01-12,Asia,Bank Transfer,Standard,1,98.31,5.99,104.3
8,1681,2023-05-17,North America,UPI,Express,2,45.88,12.99,58.87
9,892,2024-05-12,Europe,Debit Card,Standard,7,1539.15,0.0,1539.15
10,999,2024-08-20,Asia,Debit Card,Express,7,646.92,0.0,646.92
11,1375,2023-05-10,North America,Credit Card,Express,2,56.4,12.99,69.39
12,474,2022-06-01,South America,PayPal,Express,3,160.17,12.99,173.16
13,1964,2022-11-08,Middle East,Bank Transfer,Express,3,252.1,0.0,252.1
14,330,2022-07-18,North America,UPI,Standard,2,98.8,5.99,104.79
15,161,2023-08-08,Asia,PayPal,Standard,5,165.92,5.99,171.91
16,840,2024-11-29,Middle East,Bank Transfer,Standard,1,17.64,5.99,23.63
17,1832,2024-09-23,North America,Debit Card,Standard,1,330.32,0.0,330.32
18,327,2023-07-25,Africa,Debit Card,Standard,5,3687.52,0.0,3687.52
19,312,2024-01-27,South America,Bank Transfer,Standard,2,72.52,5.99,78.51
20,1193,2022-08-13,Europe,Credit Card,Express,2,1038.78,0.0,1038.78
21,185,2022-08-27,Asia,Credit Card,Same Day,3,250.77,0.0,250.77
22,1291,2023-10-07,Europe,Credit Card,Express,2,30.2,12.99,43.19
23,40,2022-03-14,Middle East,Apple Pay,Same Day,2,100.66,21.99,122.65
24,1440,2023-02-05,North America,Debit Card,Standard,2,702.56,0.0,702.56
25,1772,2024-11-23,North America,Apple Pay,Express,1,534.97,0.0,534.97
26,372,2022-03-21,Europe,PayPal,Standard,4,481.24,0.0,481.24
27,913,2023-04-20,Europe,Apple Pay,Express,2,234.26,12.99,247.25
28,1162,2023-08-29,Africa,Credit Card,Standard,9,622.65,0.0,622.65
29,584,2024-09-28,Africa,Apple Pay,Standard,1,172.19,5.99,178.18
30,18,2022-05-05,Europe,,Standard,1,128.19,5.99,134.18
31,874,2024-03-27,Europe,Credit Card,Standard,1,140.42,5.99,146.41
32,751,2024-07-05,Asia,Bank Transfer,Standard,4,550.2,0.0,550.2
33,211,2022-07-04,South America,PayPal,Express,5,217.08,12.99,230.07
34,816,2023-08-18,South America,PayPal,Express,2,20.92,12.99,33.91
35,1754,2022-03-15,Africa,Bank Transfer,Express,3,225.9,12.99,238.89
36,895,2023-09-10,South America,Apple Pay,Standard,3,1914.68,0.0,1914.68
37,1047,2022-06-23,Europe,Bank Transfer,Standard,4,348.54,0.0,348.54
38,560,2023-02-02,Middle East,PayPal,Express,3,943.57,0.0,943.57
39,1062,2024-02-11,Africa,Credit Card,Standard,2,167.68,5.99,173.67
40,1704,2024-02-23,North America,UPI,Standard,4,331.21,0.0,331.21
41,1678,2024-07-04,South America,Bank Transfer,Standard,1,64.94,5.99,70.93
42,985,2022-07-15,Asia,Debit Card,Standard,7,2099.7,0.0,2099.7
43,1239,2023-06-01,Middle East,Apple Pay,Standard,1,41.81,5.99,47.8
44,1813,2022-01-12,Asia,Debit Card,Standard,3,999.96,0.0,999.96
45,1396,2022-08-04,North America,Credit Card,Standard,1,17.46,5.99,23.45
46,945,2023-02-09,North America,Credit Card,Standard,2,67.36,5.99,73.35
47,1871,2022-10-14,Europe,Bank Transfer,Express,1,176.74,12.99,189.73
48,98,2023-07-10,Asia,Bank Transfer,Standard,7,1821.77,0.0,1821.77
49,313,2023-03-08,Middle East,Apple Pay,Same Day,5,920.19,0.0,920.19
50,1965,2024-08-21,South America,Credit Card,Standard,1,145.31,5.99,151.3
51,1516,2023-11-09,North America,Bank Transfer,Standard,1,58.87,5.99,64.86
52,890,2023-12-08,South America,Debit Card,Standard,2,71.62,5.99,77.61
53,346,2023-06-06,Europe,Apple Pay,Standard,3,796.0,0.0,796.0
54,209,2023-11-08,South America,Bank Transfer,Standard,3,463.58,0.0,463.58
55,380,2022-07-07,Asia,Bank Transfer,Express,1,65.51,12.99,78.5
56,1026,2022-04-17,Africa,UPI,Standard,1,127.79,5.99,133.78
