order_id,payment_method,payment_amount,payment_status
1,UPI,571.89,Paid
2,Apple Pay,115.75,Refunded
3,Debit Card,111.43,Paid
4,Apple Pay,1741.24,Refunded
5,Bank Transfer,638.7,Paid
6,Credit Card,134.55,Paid
7,Bank Transfer,104.3,Paid
8,UPI,58.87,Refunded
9,Debit Card,1539.15,Paid
10,Debit Card,646.92,Refunded
11,Credit Card,69.39,Paid
12,PayPal,173.16,Paid
13,Bank Transfer,252.1,Paid
14,UPI,104.79,Refunded
15,PayPal,171.91,Refunded
16,Bank Transfer,23.63,Paid
17,Debit Card,330.32,Paid
18,Debit Card,3687.52,Paid
19,Bank Transfer,78.51,Paid
20,Credit Card,1038.78,Paid
21,Credit Card,250.77,Paid
22,Credit Card,43.19,Paid
23,Apple Pay,122.65,Paid
24,Debit Card,702.56,Paid
25,Apple Pay,534.97,Paid
26,PayPal,481.24,Paid
27,Apple Pay,247.25,Refunded
28,Credit Card,622.65,Refunded
29,Apple Pay,178.18,Refunded
30,PayPal,134.18,Refunded
31,Credit Card,146.41,Paid
32,Bank Transfer,550.2,Refunded
33,PayPal,230.07,Paid
34,PayPal,33.91,Paid
35,Bank Transfer,238.89,Paid
36,Apple Pay,1914.68,Paid
37,Bank Transfer,348.54,Refunded
38,PayPal,943.57,Refunded
39,Credit Card,173.67,Paid
40,UPI,331.21,Paid
41,Bank Transfer,70.93,Paid
42,Debit Card,2099.7,Refunded
43,Apple Pay,47.8,Refunded
44,Debit Card,999.96,Paid
45,Credit Card,23.45,Paid
46,Credit Card,73.35,Refunded
47,Bank Transfer,189.73,Paid
48,Bank Transfer,1821.77,Refunded
49,Apple Pay,920.19,Paid
50,Credit Card,151.3,Refunded
51,Bank Transfer,64.86,Paid
52,Debit Card,77.61,Refunded
53,Apple Pay,796.0,Refunded
54,Bank Transfer,463.58,Paid
55,Bank Transfer,78.5,Paid
56,UPI,133.78,Paid
57,UPI,939.4,Paid
58,UPI,482.16,Paid
59,PayPal,615.47,Paid
60,Bank Transfer,33.69,Paid
61,Credit Card,501.06,Paid
62,Bank Transfer,862.86,Paid
63,Apple Pay,308.91,Paid
64,Apple Pay,812.28,Paid
65,Apple Pay,450.7,Paid
66,Bank Transfer,216.89,Paid
67,UPI,842.64,Paid
68,Bank Transfer,2518.04,Paid
69,PayPal,115.23,Paid
70,UPI,137.18,Paid
71,PayPal,266.53,Refunded
72,Bank Transfer,112.07,Refunded
73,Apple Pay,196.38,Paid
74,Credit Card,766.51,Paid
75,Credit Card,137.41,Paid
76,PayPal,80.57,Refunded
77,UPI,1004.15,Paid
78,PayPal,757.74,Paid
79,Debit Card,360.8,Paid
80,Debit Card,241.01,Refunded
81,UPI,139.63,Paid
82,Debit Card,61.55,Refunded
83,PayPal,115.59,Paid
84,PayPal,1100.74,Paid
85,Credit Card,40.96,Paid
86,PayPal,528.28,Paid
87,Bank Transfer,651.63,Refunded
88,Apple Pay,435.15,Paid
89,UPI,240.13,Paid
90,Bank Transfer,185.92,Paid
91,Apple Pay,51.54,Paid
92,PayPal,153.8,Paid
93,UPI,663.22,Paid
94,PayPal,45.03,Refunded
95,PayPal,29.94,Paid
96,Apple Pay,230.97,Paid
97,UPI,927.64,Paid
98,Apple Pay,143.35,Paid
99,Credit Card,777.84,Paid
100,PayPal,305.49,Paid
101,PayPal,193.46,Paid
102,PayPal,1535.4,Paid
103,UPI,693.72,Refunded
104,PayPal,646.51,Paid
105,Debit Card,576.1,Paid
106,UPI,203.53,Refunded
107,Debit Card,1272.98,Paid
108,Apple Pay,160.93,Paid
109,Bank Transfer,1251.5,Refunded
110,Debit Card,1135.08,Paid
111,Credit Card,388.12,Paid
112,Apple Pay,705.15,Paid
113,Apple Pay,52.01,Paid
114,Bank Transfer,1584.29,Paid
115,Apple Pay,177.89,Paid
116,Credit Card,168.14,Paid
117,PayPal,335.36,Paid
118,PayPal,130.48,Refunded
119,Apple Pay,201.32,Paid
120,Debit Card,334.83,Paid
121,Bank Transfer,755.83,Paid
122,Debit Card,394.3,Paid
123,UPI,804.81,Paid
124,UPI,243.67,Paid
125,Bank Transfer,96.26,Paid
126,UPI,57.52,Paid
127,Debit Card,346.2,Paid
128,Credit Card,136.43,Paid
129,PayPal,756.6,Paid
130,PayPal,817.21,Paid
131,Debit Card,1470.98,Paid
132,Bank Transfer,120.17,Paid
133,UPI,189.01,Paid
134,Bank Transfer,105.32,Paid
135,Debit Card,1996.98,Refunded
136,PayPal,204.53,Paid
137,UPI,730.41,Paid
138,Credit Card,683.83,Paid
139,UPI,2243.45,Refunded
140,Bank Transfer,213.96,Paid
141,Apple Pay,468.72,Paid
142,UPI,393.66,Paid
143,Credit Card,414.24,Paid
144,Apple Pay,158.21,Paid
145,UPI,87.46,Paid
146,PayPal,176.54,Paid
147,Bank Transfer,1205.58,Paid
148,Apple Pay,1407.02,Paid
149,UPI,433.77,Paid
150,Apple Pay,133.45,Paid
151,Debit Card,62.84,Paid
152,Credit Card,561.16,Paid
153,PayPal,51.44,Paid
154,UPI,1371.24,Refunded
155,Debit Card,722.37,Paid
156,Credit Card,2252.07,Paid
157,UPI,3348.04,Refunded
158,PayPal,1089.59,Paid
159,Credit Card,358.71,Refunded
160,Bank Transfer,2358.17,Paid
161,UPI,440.5,Paid
162,PayPal,573.41,Paid
163,PayPal,1374.9,Paid
164,Bank Transfer,132.27,Paid
165,Apple Pay,523.37,Paid
166,PayPal,57.03,Paid
167,PayPal,180.29,Paid
168,Credit Card,440.6,Refunded
169,PayPal,1513.48,Paid
170,UPI,483.76,Paid
171,Bank Transfer,1180.7,Paid
172,PayPal,381.34,Paid
173,Bank Transfer,504.62,Paid
174,Debit Card,1801.12,Paid
175,Apple Pay,751.59,Paid
176,PayPal,461.24,Refunded
177,Debit Card,538.95,Paid
178,Debit Card,360.03,Paid
179,Apple Pay,126.07,Paid
180,PayPal,56.33,Paid
181,Apple Pay,43.78,Paid
182,Apple Pay,1833.42,Paid
183,Credit Card,268.38,Refunded
184,Apple Pay,441.41,Refunded
185,Apple Pay,66.24,Paid
186,PayPal,29.7,Paid
187,UPI,770.74,Refunded
188,Apple Pay,60.73,Paid
189,Debit Card,1317.24,Paid
190,UPI,3344.92,Paid
191,Apple Pay,40.18,Paid
192,Credit Card,104.14,Paid
193,Bank Transfer,1232.67,Paid
194,Credit Card,1645.4,Refunded
195,Debit Card,34.79,Paid
196,Apple Pay,281.87,Refunded
197,PayPal,845.98,Paid
198,Debit Card,24.96,Paid
199,Apple Pay,1090.72,Paid
200,Bank Transfer,166.45,Paid
201,Debit Card,238.67,Paid
202,Bank Transfer,860.82,Paid
203,Bank Transfer,438.26,Paid
204,Credit Card,105.35,Paid
205,Bank Transfer,227.68,Paid
206,Apple Pay,260.94,Paid
207,UPI,159.83,Refunded
208,Apple Pay,149.82,Paid
209,Apple Pay,133.0,Paid
210,UPI,304.72,Refunded
211,Debit Card,693.04,Paid
212,Credit Card,1652.58,Paid
213,PayPal,1803.0,Paid
214,UPI,474.45,Paid
215,UPI,137.77,Paid
216,Credit Card,265.35,Paid
217,Debit Card,3329.42,Refunded
218,UPI,2229.15,Paid
219,UPI,595.45,Refunded
220,UPI,336.91,Paid
221,PayPal,406.27,Paid
222,Credit Card,270.58,Paid
223,Credit Card,51.49,Paid
224,Debit Card,2242.02,Paid
225,Debit Card,618.1,Paid
226,Apple Pay,263.79,Paid
227,Credit Card,297.9,Paid
228,UPI,38.45,Paid
229,PayPal,47.34,Refunded
230,Bank Transfer,878.86,Paid
231,PayPal,458.86,Paid
232,Credit Card,271.51,Paid
233,PayPal,110.52,Refunded
234,Credit Card,373.58,Paid
235,PayPal,719.56,Paid
236,Credit Card,338.95,Refunded
237,Bank Transfer,49.73,Paid
238,Debit Card,70.26,Paid
239,Debit Card,600.94,Refunded
240,Debit Card,580.41,Paid
241,Debit Card,94.49,Paid
242,UPI,257.37,Paid
243,Bank Transfer,102.96,Paid
244,UPI,76.6,Paid
245,Apple Pay,515.65,Paid
246,UPI,58.74,Paid
247,Credit Card,433.26,Paid
248,PayPal,309.44,Paid
249,PayPal,200.86,Paid
250,Credit Card,148.36,Paid
251,Debit Card,2591.55,Refunded
252,Credit Card,1520.17,Paid
253,Credit Card,104.02,Refunded
254,PayPal,4362.25,Paid
255,Debit Card,154.61,Refunded
256,Credit Card,105.35,Refunded
257,UPI,440.68,Refunded
258,Debit Card,1075.85,Paid
259,Credit Card,287.2,Paid
260,Credit Card,153.73,Refunded
261,Credit Card,1173.94,Paid
262,Apple Pay,388.14,Paid
263,Apple Pay,1385.3,Paid
264,Credit Card,255.99,Paid
265,PayPal,851.04,Paid
266,Credit Card,32.69,Refunded
267,Apple Pay,360.42,Paid
268,Apple Pay,226.66,Paid
269,PayPal,169.26,Refunded
270,UPI,73.75,Paid
271,UPI,927.57,Paid
272,UPI,1170.52,Paid
273,Apple Pay,159.87,Paid
274,Credit Card,862.71,Refunded
275,Bank Transfer,198.1,Paid
276,UPI,125.4,Paid
277,UPI,798.88,Paid
278,Debit Card,857.84,Paid
279,Bank Transfer,124.05,Paid
280,Debit Card,238.39,Paid
281,Bank Transfer,490.44,Refunded
282,Bank Transfer,174.51,Paid
283,Apple Pay,1279.06,Paid
284,Apple Pay,757.53,Paid
285,Credit Card,943.82,Refunded
286,Apple Pay,164.05,Refunded
287,Credit Card,1353.62,Refunded
288,Debit Card,824.98,Paid
289,UPI,229.87,Refunded
290,Bank Transfer,277.16,Paid
291,Debit Card,318.03,Refunded
292,PayPal,64.43,Paid
293,UPI,204.39,Paid
294,Bank Transfer,2206.38,Refunded
295,Bank Transfer,59.6,Paid
296,UPI,203.81,Paid
297,Apple Pay,190.26,Paid
298,Credit Card,250.01,Paid
299,UPI,3448.0,Paid
300,Credit Card,1960.66,Paid
301,UPI,146.83,Paid
302,UPI,353.14,Paid
303,Bank Transfer,146.16,Paid
304,UPI,53.18,Paid
305,Credit Card,416.85,Paid
306,UPI,2392.82,Paid
307,UPI,1483.2,Refunded
308,PayPal,57.89,Refunded
309,UPI,1339.24,Paid
310,Bank Transfer,456.86,Paid
311,UPI,505.16,Paid
312,Credit Card,491.98,Paid
313,PayPal,1219.08,Paid
314,Credit Card,64.41,Paid
315,Bank Transfer,168.87,Paid
316,Debit Card,280.58,Paid
317,Credit Card,520.9,Paid
318,Debit Card,466.32,Paid
319,UPI,265.82,Refunded
320,Bank Transfer,846.26,Paid
321,Credit Card,169.09,Paid
322,PayPal,485.37,Paid
323,Bank Transfer,1270.56,Paid
324,Apple Pay,233.43,Paid
325,PayPal,92.04,Paid
326,Credit Card,114.8,Paid
327,Apple Pay,3270.03,Paid
328,PayPal,751.83,Paid
329,Apple Pay,84.37,Paid
330,Debit Card,4200.68,Paid
331,Credit Card,996.94,Paid
332,Credit Card,1414.96,Refunded
333,UPI,27.64,Paid
334,Bank Transfer,95.72,Paid
335,UPI,689.39,Paid
336,Debit Card,208.77,Paid
337,PayPal,281.18,Paid
338,Credit Card,387.68,Paid
339,Bank Transfer,716.4,Refunded
340,Apple Pay,1985.45,Paid
341,PayPal,1235.4,Paid
342,PayPal,475.16,Paid
343,Apple Pay,165.81,Paid
344,Bank Transfer,278.29,Paid
345,UPI,531.18,Refunded
346,Bank Transfer,2019.65,Paid
347,PayPal,1900.36,Paid
348,PayPal,252.26,Paid
349,Bank Transfer,436.18,Paid
350,Bank Transfer,212.27,Paid
351,Bank Transfer,159.14,Paid
352,Bank Transfer,4232.12,Refunded
353,Credit Card,533.05,Refunded
354,Bank Transfer,1001.16,Paid
355,Credit Card,208.02,Paid
356,UPI,331.72,Refunded
357,PayPal,3317.16,Paid
358,Debit Card,911.72,Paid
359,Debit Card,1872.6,Paid
360,UPI,1009.2,Paid
361,Debit Card,198.44,Paid
362,Bank Transfer,45.14,Refunded
363,Debit Card,989.26,Paid
364,Debit Card,58.99,Refunded
365,UPI,1598.29,Paid
366,PayPal,893.04,Paid
367,Apple Pay,139.98,Paid
368,PayPal,164.09,Paid
369,Credit Card,231.63,Paid
370,UPI,3780.98,Paid
371,Credit Card,550.86,Paid
372,UPI,92.32,Paid
373,Bank Transfer,223.92,Paid
374,Debit Card,990.39,Refunded
375,PayPal,56.4,Refunded
376,Bank Transfer,37.24,Paid
377,UPI,617.04,Paid
378,PayPal,1024.14,Paid
379,Bank Transfer,197.41,Paid
380,UPI,538.1,Paid
381,Debit Card,2685.94,Paid
382,UPI,605.81,Paid
383,Debit Card,251.43,Paid
384,Debit Card,670.98,Paid
385,Credit Card,191.5,Paid
386,Credit Card,143.59,Paid
387,Credit Card,201.05,Paid
388,Debit Card,646.9,Paid
389,UPI,409.14,Paid
390,Apple Pay,404.67,Paid
391,UPI,153.62,Paid
392,Debit Card,111.46,Paid
393,PayPal,474.56,Paid
394,Apple Pay,148.58,Paid
395,PayPal,356.72,Refunded
396,PayPal,1088.97,Paid
397,UPI,955.51,Refunded
398,Apple Pay,88.02,Paid
399,Bank Transfer,19.47,Paid
400,Bank Transfer,1669.93,Paid
401,UPI,174.75,Paid
402,Bank Transfer,91.55,Refunded
403,Credit Card,4446.64,Refunded
404,Bank Transfer,57.62,Refunded
405,Apple Pay,733.39,Refunded
406,Apple Pay,156.43,Paid
407,PayPal,157.27,Paid
408,Credit Card,1699.49,Paid
409,Credit Card,2081.37,Paid
410,Debit Card,102.41,Paid
411,Apple Pay,300.57,Refunded
412,UPI,480.9,Paid
413,UPI,645.05,Paid
414,Credit Card,845.06,Refunded
415,Bank Transfer,1138.9,Paid
416,Credit Card,4644.8,Paid
417,Apple Pay,97.82,Paid
418,Bank Transfer,1160.44,Paid
419,Bank Transfer,1399.88,Paid
420,UPI,156.57,Paid
421,Bank Transfer,121.29,Refunded
422,Bank Transfer,253.91,Paid
423,Apple Pay,200.05,Paid
424,Debit Card,48.43,Paid
425,Bank Transfer,196.93,Paid
426,Bank Transfer,191.38,Paid
427,Apple Pay,236.32,Refunded
428,PayPal,1012.79,Paid
429,Bank Transfer,214.59,Paid
430,PayPal,33.64,Paid
431,Bank Transfer,101.48,Paid
432,Credit Card,35.1,Paid
433,Apple Pay,1002.04,Refunded
434,Bank Transfer,203.68,Paid
435,Apple Pay,255.99,Paid
436,PayPal,887.32,Paid
437,PayPal,192.1,Paid
438,PayPal,1064.69,Paid
439,PayPal,110.27,Refunded
440,Credit Card,258.31,Paid
441,Debit Card,194.16,Paid
442,Credit Card,146.03,Paid
443,Apple Pay,75.33,Paid
444,Debit Card,545.95,Refunded
445,UPI,284.79,Paid
446,Debit Card,315.2,Paid
447,Apple Pay,576.02,Paid
448,Debit Card,152.32,Refunded
449,Debit Card,61.01,Paid
450,Bank Transfer,955.06,Paid
451,Credit Card,155.88,Paid
452,Debit Card,577.43,Paid
453,Bank Transfer,1047.39,Paid
454,Credit Card,89.49,Paid
455,Bank Transfer,269.64,Paid
456,PayPal,1107.86,Paid
457,UPI,322.77,Paid
458,Credit Card,65.14,Paid
459,PayPal,106.99,Paid
460,Credit Card,335.28,Paid
461,Apple Pay,37.17,Paid
462,PayPal,41.98,Paid
463,UPI,294.88,Refunded
464,Credit Card,294.05,Paid
465,PayPal,771.03,Refunded
466,Debit Card,88.73,Paid
467,Debit Card,663.84,Paid
468,Credit Card,2085.3,Refunded
469,PayPal,59.59,Refunded
470,PayPal,79.4,Paid
471,Apple Pay,57.04,Paid
472,Bank Transfer,233.72,Paid
473,Bank Transfer,134.34,Paid
474,Apple Pay,25.62,Paid
475,Debit Card,21.87,Paid
476,Debit Card,377.85,Paid
477,Apple Pay,862.14,Paid
478,Bank Transfer,445.7,Refunded
479,Credit Card,503.27,Paid
